0	14.99
0	14.99
0	0
0	0
0	0
0	0
6.99	0
6.99	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	14.99
0	0
0	0
0	14.99
0	9.641666667
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	14.99
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
6.99	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	9.641666667
6.99	9.641666667
0	0
6.99	0
6.498916667	0
0	14.99
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	14.99
0	0
6.498916667	0
6.99	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	14.99
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
6.99	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	9.641666667
0	14.99
0	9.641666667
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
6.99	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
6.99	0
6.99	0
6.99	0
0	0
6.99	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	14.99
0	0
0	0
6.99	0
6.99	0
0	14.99
0	0
0	0
0	0
6.99	0
0	0
6.99	0
0	0
0	0
6.99	0
0	0
6.99	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
6.99	0
0	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
0	14.99
0	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9.641666667
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
6.99	0
0	14.99
0	0
0	14.99
6.99	14.99
0	0
0	9.641666667
0	9.641666667
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
6.99	0
0	0
0	0
0	0
0	14.99
0	9.641666667
6.99	0
0	0
0	14.99
0	0
0	0
6.498916667	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	14.99
0	0
6.498916667	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
6.99	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
6.99	0
6.99	0
0	9.641666667
0	0
6.99	0
0	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9.641666667
0	0
6.99	0
0	0
0	0
6.99	14.99
0	0
6.498916667	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	9.641666667
0	14.99
6.99	0
0	0
0	0
0	0
0	9.641666667
0	0
6.99	14.99
0	0
6.498916667	0
6.99	0
0	0
0	14.99
6.99	0
0	0
6.99	0
6.99	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
6.99	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
6.498916667	0
0	9.641666667
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
6.498916667	9.641666667
6.99	0
0	14.99
0	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	9.641666667
0	0
0	0
0	9.641666667
0	0
6.99	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9.641666667
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	14.99
6.99	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
6.99	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	14.99
6.99	0
0	0
0	0
0	0
0	0
6.99	0
6.498916667	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
6.99	0
6.99	0
6.99	9.641666667
0	0
0	0
0	0
6.498916667	0
0	0
0	0
6.99	0
6.498916667	0
0	0
0	0
0	0
6.498916667	14.99
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	14.99
0	0
6.99	0
0	0
0	14.99
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
6.99	0
6.498916667	0
6.99	0
0	0
6.99	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
6.99	0
0	9.641666667
6.498916667	14.99
0	0
0	0
6.99	0
0	14.99
0	0
6.99	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	9.641666667
0	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	9.641666667
6.99	9.641666667
0	0
0	0
0	0
6.498916667	0
0	0
0	0
6.99	0
0	0
6.99	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
6.99	0
0	0
6.498916667	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	14.99
0	14.99
0	14.99
6.99	0
0	0
0	9.641666667
0	0
0	0
6.99	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
6.99	0
0	0
6.99	9.641666667
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
6.99	14.99
0	9.641666667
0	0
0	0
6.99	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	9.641666667
0	0
0	0
0	0
0	0
0	14.99
0	0
0	14.99
0	9.641666667
0	0
0	14.99
0	0
0	0
0	9.641666667
0	0
6.99	14.99
6.99	0
0	9.641666667
6.99	14.99
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	14.99
0	14.99
0	14.99
0	0
0	9.641666667
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	14.99
0	0
0	0
0	0
0	0
0	14.99
6.99	0
6.99	0
0	14.99
0	0
6.99	0
0	0
0	0
0	0
6.99	0
0	14.99
6.498916667	14.99
0	14.99
0	0
0	0
0	0
0	0
0	0
0	9.641666667
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	14.99
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.498916667	14.99
0	0
0	0
0	14.99
6.99	0
0	0
0	0
6.498916667	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.498916667	9.641666667
0	0
0	0
6.99	14.99
0	0
0	0
0	0
0	14.99
6.99	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
6.99	0
6.498916667	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
6.99	0
6.99	14.99
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	14.99
0	0
0	0
6.498916667	0
0	0
0	0
0	14.99
6.99	0
0	9.641666667
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	14.99
6.498916667	0
0	0
0	0
0	0
0	0
0	14.99
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	14.99
0	9.641666667
0	0
6.99	0
0	0
0	9.641666667
0	14.99
0	0
6.99	0
0	0
6.99	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	14.99
0	14.99
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	14.99
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	9.641666667
0	0
6.99	0
6.99	9.641666667
0	14.99
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	14.99
6.99	0
6.498916667	0
6.99	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9.641666667
0	0
6.498916667	0
0	0
0	0
0	14.99
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	14.99
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
6.99	0
0	0
6.99	0
0	0
0	14.99
0	14.99
0	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	14.99
0	14.99
6.498916667	14.99
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	9.641666667
0	0
0	14.99
0	0
0	0
0	0
6.498916667	0
0	14.99
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	14.99
0	0
0	14.99
0	0
0	0
0	0
0	14.99
0	0
0	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
6.99	0
6.498916667	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	9.641666667
0	14.99
6.99	0
0	14.99
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	14.99
0	9.641666667
0	9.641666667
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	9.641666667
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	9.641666667
6.99	0
0	0
0	14.99
0	14.99
6.498916667	0
0	0
6.99	0
0	0
6.99	0
0	0
0	14.99
0	0
6.99	0
0	9.641666667
0	0
0	0
0	0
0	0
6.99	14.99
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
6.99	0
0	0
0	0
0	9.641666667
0	0
6.99	0
6.498916667	0
0	14.99
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	14.99
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
0	14.99
0	0
0	0
0	0
0	0
6.99	0
0	0
6.99	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.498916667	0
0	0
0	0
6.99	14.99
0	0
0	14.99
0	0
6.99	0
6.99	14.99
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
6.498916667	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
6.99	0
0	0
0	9.641666667
6.498916667	0
0	0
0	9.641666667
6.99	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9.641666667
6.99	0
0	0
6.498916667	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	9.641666667
0	0
6.99	0
6.498916667	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	9.641666667
6.498916667	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	9.641666667
0	0
6.498916667	0
6.99	0
6.498916667	0
0	14.99
0	0
0	14.99
0	0
0	14.99
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	9.641666667
6.99	0
0	0
0	0
0	9.641666667
0	0
0	0
0	0
0	0
6.498916667	9.641666667
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	0
6.498916667	0
0	0
6.99	0
6.99	0
0	0
6.498916667	0
0	0
0	0
0	14.99
0	0
6.99	0
0	0
0	0
0	0
0	0
6.99	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	14.99
6.99	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
6.99	0
0	0
0	0
6.99	0
0	0
0	0
6.99	14.99
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
6.99	0
0	14.99
0	0
6.99	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	14.99
6.99	0
0	0
6.99	0
0	0
0	0
6.99	0
0	0
6.99	14.99
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	9.641666667
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	14.99
6.498916667	0
6.99	14.99
0	0
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14.99
0	0
0	0
0	14.99
0	0
0	9.641666667
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	9.641666667
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
6.99	9.641666667
0	0
0	14.99
6.99	0
0	0
0	9.641666667
6.99	14.99
0	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
6.498916667	0
0	0
0	0
0	0
0	14.99
0	0
6.498916667	0
6.99	0
0	0
0	9.641666667
0	14.99
0	0
0	14.99
6.99	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
6.498916667	0
0	0
0	0
0	0
6.498916667	0
6.498916667	0
6.99	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	14.99
6.99	14.99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
6.99	0
6.498916667	0
0	0
0	0
0	0
0	0
0	0
6.99	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9.641666667
0	0
0	0
0	0
0	14.99
0	0
